vod,rr5,rr4,rr3,rr2,rr1,br5,br4,br3,br2,br1,rp5,bp4,bp5,rp4,bb5,rb5,bb4,rb4,rp3,bp2,bp3,rp1,rp2,bp1,rb3,bb3,rb2,bb2,rb1,bb1,patch,winner,score,red,blue,phase,region
https://youtu.be/y_EIhqNqACU?t=15069,mid,top,support,jungle,bot,top,jungle,support,bot,mid,yone,trundle,ornn,kennen,sylas,sejuani,leblanc,vi,lulu,lucian,nami,zeri,wukong,azir,poppy,ahri,kalista,jax,draven,gnar,12.15,1,3 - 1,FunPlus Phoenix,EDward Gaming,Round 2,CN
https://youtu.be/y_EIhqNqACU?t=11589,mid,top,bot,jungle,support,top,jungle,support,mid,bot,taliyah,viego,jax,renekton,lissandra,jarvan iv,leblanc,vi,sivir,ahri,lulu,yuumi,wukong,zeri,gnar,kalista,sylas,azir,poppy,draven,12.15,1,1 - 2,EDward Gaming,FunPlus Phoenix,Round 2,CN
https://youtu.be/y_EIhqNqACU?t=7993,mid,top,bot,jungle,support,top,jungle,mid,support,bot,ahri,viego,ornn,renekton,akali,jarvan iv,leblanc,xin zhao,sivir,lulu,sylas,yuumi,vi,zeri,gnar,kalista,wukong,azir,poppy,draven,12.15,2,0 - 2,EDward Gaming,FunPlus Phoenix,Round 2,CN
https://youtu.be/y_EIhqNqACU?t=4825,top,support,mid,bot,jungle,top,jungle,mid,support,bot,gragas,trundle,kennen,pyke,lulu,renekton,yuumi,vi,akali,renata glasc,sylas,wukong,zeri,kalista,azir,taliyah,poppy,aatrox,draven,gnar,12.15,1,1 - 0,FunPlus Phoenix,EDward Gaming,Round 2,CN
https://youtu.be/fXxMAaRoRHA?t=14349,mid,jungle,top,support,bot,support,mid,top,bot,jungle,corki,azir,rakan,trundle,nocturne,lulu,akali,nautilus,gnar,aphelios,fiora,kalista,renataglasc,poppy,jax,taliyah,leblanc,kennen,zeri,renekton,12.15,2,1 - 3,LNG Esports,Bilibili Gaming,Round 1,CN
https://youtu.be/fXxMAaRoRHA?t=11150,mid,top,support,bot,jungle,support,bot,mid,top,jungle,akali,lucian,nami,jax,lissandra,rakan,sejuani,sivir,renata glasc,kennen,nocturne,xin zhao,aphelios,wukong,poppy,vi,zeri,kalista,renekton,leblanc,12.15,2,2 - 1,Bilibili Gaming,LNG Esports,Round 1,CN
https://youtu.be/fXxMAaRoRHA?t=7896,support,top,bot,mid,jungle,mid,top,support,bot,jungle,amumu,fiora,corki,jax,pyke,sejuani,yuumi,akali,nilah,lucian,nami,trundle,taliyah,poppy,kennen,vi,zeri,kalista,renekton,leblanc,12.15,1,2 - 0,Bilibili Gaming,LNG Esports,Round 1,CN
https://youtu.be/fXxMAaRoRHA?t=4864,support,mid,top,bot,jungle,mid,support,top,bot,jungle,thresh,leona,nocturne,ahri,renata glasc,taliyah,lissandra,akali,sejuani,aphelios,kennen,trundle,draven,wukong,poppy,vi,zeri,kalista,renekton,leblanc,12.15,1,1 - 0,Bilibili Gaming,LNG Esports,Round 1,CN
https://youtu.be/NX73w9uEbWw?t=18124,jungle,support,top,bot,mid,support,bot,mid,top,jungle,xin zhao,xayah,rakan,nautilus,wukong,tahm kench,amumu,sivir,kennen,gnar,akali,ahri,aphelios,poppy,lucian,samira,zeri,sylas,kalista,rumble,12.15,1,3 - 2,Oh My God,FunPlus Phoenix,Round 1,CN
https://youtu.be/NX73w9uEbWw?t=14427,top,mid,support,jungle,bot,top,mid,support,bot,jungle,jarvan iv,yone,kennen,viktor,gwen,gnar,akali,taliyah,nautilus,lucian,nami,aphelios,wukong,poppy,ahri,samira,zeri,sylas,kalista,rumble,12.15,1,2 - 2,Oh My God,FunPlus Phoenix,Round 1,CN
https://youtu.be/NX73w9uEbWw?t=11280,top,jungle,support,bot,mid,top,support,jungle,bot,mid,aatrox,nautilus,rumble,lee sin,gnar,renekton,vi,amumu,alistar,samira,xinzhao,lissandra,sivir,ahri,wukong,lucian,poppy,zeri,sylas,kalista,12.15,1,2 - 1,FunPlus Phoenix,Oh My God,Round 1,CN
https://youtu.be/NX73w9uEbWw?t=7157,top,jungle,support,bot,mid,top,support,bot,jungle,mid,gnar,amumu,renekton,jarvan iv,xin zhao,nautilus,vi,alistar,yuumi,wukong,aphelios,lissandra,sivir,ahri,akali,lucian,poppy,zeri,sylas,kalista,12.15,1,1 - 1,FunPlus Phoenix,Oh My God,Round 1,CN
https://youtu.be/NX73w9uEbWw?t=4189,top,jungle,support,mid,bot,jungle,top,support,bot,mid,aatrox,rumble,trundle,vi,gwen,pantheon,lee sin,xin zhao,braum,tristana,nautilus,zeri,lissandra,ahri,wukong,lucian,poppy,gnar,sylas,kalista,12.15,2,0 - 1,FunPlus Phoenix,Oh My God,Round 1,CN
https://youtu.be/RM-ZwalUpYA?t=15827,bot,support,mid,jungle,top,top,mid,support,bot,jungle,heimerdinger,galio,gnar,senna,yone,sejuani,nautilus,sylas,yasuo,zeri,yuumi,azir,poppy,wukong,renekton,kalista,sivir,lucian,ahri,renata glasc,12.14,1,3 - 2,DWG KIA,T1,Semifinals,KR
https://youtu.be/RM-ZwalUpYA?t=12452,top,bot,mid,support,jungle,top,support,bot,jungle,mid,yone,sejuani,camille,zeri,gwen,pyke,xayah,nautilus,sylas,vi,nilah,wukong,yuumi,azir,renekton,kalista,sivir,lucian,ahri,renata glasc,12.14,2,2 - 2,DWG KIA,T1,Semifinals,KR
https://youtu.be/RM-ZwalUpYA?t=8887,top,mid,support,jungle,bot,mid,jungle,support,bot,top,aatrox,morgana,swain,lissandra,azir,trundle,sylas,taliyah,amumu,draven,braum,kalista,wukong,renekton,renata glasc,nautilus,sivir,ahri,lucian,gwen,12.14,1,1 - 2,T1,DWG KIA,Semifinals,KR
https://youtu.be/RM-ZwalUpYA?t=5885,top,mid,support,jungle,bot,mid,jungle,support,bot,top,gnar,poppy,leblanc,sylas,aatrox,trundle,azir,taliyah,amumu,draven,braum,kalista,wukong,renekton,lucian,nautilus,sivir,gwen,renata glasc,ahri,12.14,2,0 - 2,T1,DWG KIA,Semifinals,KR
https://youtu.be/RM-ZwalUpYA?t=2987,bot,support,mid,jungle,top,jungle,top,mid,bot,support,yasuo,ornn,trundle,senna,nilah,vi,alistar,gwen,taliyah,sivir,azir,renekton,wukong,yuumi,nautilus,kalista,galio,renata glasc,ahri,lucian,12.14,1,1 - 0,DWG KIA,T1,Semifinals,KR
https://youtu.be/rSc_J7cw_I4?t=12966,support,bot,mid,jungle,top,jungle,top,mid,bot,support,rakan,aatrox,sejuani,zeri,alistar,trundle,nilah,gwen,sylas,sivir,azir,renekton,wukong,yuumi,ahri,aphelios,kalista,nautilus,poppy,vi,12.14,1,3 - 1,Liiv SANDBOX,Gen.G,Semifinals,KR
https://youtu.be/rSc_J7cw_I4?t=9728,support,top,mid,bot,jungle,jungle,support,mid,bot,top,rakan,nautilus,sejuani,ornn,lulu,skarner,renata glasc,trundle,ahri,nilah,azir,wukong,zeri,renekton,aphelios,kalista,sivir,yuumi,vi,poppy,12.14,1,1 - 2,Gen.G,Liiv SANDBOX,Semifinals,KR
